Normalization,Regressing out,Points,Model,LayerGroup,PCA Components,Regression Type,Test Split,Test R2 Score,RMSE Score,Seed,Combined Score
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,100,Kernel Ridge,90/10,0.7381390655084343,0.0340675924416349,1,0.9999145326153803
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,100,GPR,90/10,0.7245279370266122,0.0349417672925567,1,0.9998812917721874
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,190,GPR,90/10,0.7211692437393109,0.0351541356872769,1,0.9998731861272462
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,50,Kernel Ridge,90/10,0.7127505049076611,0.0356808936767027,1,0.9998530298615163
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,low,190,Kernel Ridge,90/10,0.7118080899576655,0.0357393771082494,1,0.9998507875198461
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,100,Kernel Ridge,90/10,0.6997653002041336,0.0364784627801041,1,0.9998223725919178
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,190,Kernel Ridge,90/10,0.699363418174869,0.0365028689132116,1,0.9998214318293293
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,190,GPR,90/10,0.6954669578358504,0.036738658726567,1,0.9998123349949141
Rg norm w/0.5,No regr out,Inliers,ProtBERT,low,50,GPR,90/10,0.6840574537024252,0.0374227519534331,1,0.9997858816157056
Rg norm w/0.5,pH regr out,Inliers,ProtBERT,high,100,GPR,90/10,0.6787048702220418,0.0377361993590884,1,0.9997736883061039
